CopiedTimestamp,SourceFile,DestinationFile,FileSize,SourceFileSha1,DeferredCopy,CreatedOnUtc,ModifiedOnUtc,LastAccessedOnUtc,CopyDuration
2021-08-13 05:18:04.1495375,C:\Windows\appcompat\Programs\Install\INSTALL_ffff_835c540b-9108-4ac9-8f3a-5c89abbda59c.txt,C:\Users\82107\Desktop\KapeOutput\C\Windows\appcompat\Programs\Install\INSTALL_ffff_835c540b-9108-4ac9-8f3a-5c89abbda59c.txt,4006,EF63C08D6E4142CEAEEFFF17AC51681B386AF37B,False,2021-08-07 11:01:45.5487566,2021-08-07 11:01:45.5498320,2021-08-13 04:10:46.8008826,00:00:00.0019983
2021-08-13 05:18:04.1600631,C:\Windows\appcompat\Programs\Install\INSTALL_ffff_8736ee2c-3b27-41f1-85e5-8ef94dc764cc.txt,C:\Users\82107\Desktop\KapeOutput\C\Windows\appcompat\Programs\Install\INSTALL_ffff_8736ee2c-3b27-41f1-85e5-8ef94dc764cc.txt,16172,B4370FE8687A6F041F9740F8C1C316FE01DB2212,False,2021-07-25 10:32:33.7517548,2021-07-25 10:32:33.7719582,2021-08-13 04:10:46.8081302,00:00:00.0091726
2021-08-13 05:18:04.1712762,C:\Windows\appcompat\Programs\Install\INSTALL_ffff_8c8dc8e6-6040-4971-91fc-559bd9c17534.txt,C:\Users\82107\Desktop\KapeOutput\C\Windows\appcompat\Programs\Install\INSTALL_ffff_8c8dc8e6-6040-4971-91fc-559bd9c17534.txt,18794,E5C33BBCCF38D8DF64C52E14227C673D3D66201D,False,2021-07-22 07:53:38.2915198,2021-07-22 07:53:38.2915198,2021-08-13 04:10:46.8200911,00:00:00.0100293
2021-08-13 05:18:04.1841758,C:\Windows\appcompat\Programs\Install\INSTALL_ffff_ab8a8415-c72d-4c66-9abb-d6d808f73e17.txt,C:\Users\82107\Desktop\KapeOutput\C\Windows\appcompat\Programs\Install\INSTALL_ffff_ab8a8415-c72d-4c66-9abb-d6d808f73e17.txt,9788,B52523FA7CD300F8418216A598E28E74BAFB704F,False,2021-07-23 18:09:24.0976996,2021-07-23 18:09:24.0976996,2021-08-13 04:10:46.8320483,00:00:00.0094256
2021-08-13 05:18:04.1973682,C:\Windows\appcompat\Programs\Install\INSTALL_ffff_b52851cb-611d-4fcf-a4af-5ecaee92f1f7.txt,C:\Users\82107\Desktop\KapeOutput\C\Windows\appcompat\Programs\Install\INSTALL_ffff_b52851cb-611d-4fcf-a4af-5ecaee92f1f7.txt,16576,DBA653485791E441C1C7B8AB750B0A9C6CF70339,False,2021-07-22 08:00:05.8321122,2021-07-22 08:00:05.8321122,2021-08-13 04:10:46.8465067,00:00:00.0106086
2021-08-13 05:18:04.2008452,C:\Windows\appcompat\Programs\Install\INSTALL_ffff_bb43efbc-d7b4-4673-afb6-e0856e91385e.txt,C:\Users\82107\Desktop\KapeOutput\C\Windows\appcompat\Programs\Install\INSTALL_ffff_bb43efbc-d7b4-4673-afb6-e0856e91385e.txt,3664,A5456B40A606EBFDF2C8FB4B0090CDE6F2712B1C,False,2021-07-23 04:16:13.6841001,2021-07-23 04:16:13.6841001,2021-08-13 04:10:46.8595283,00:00:00.0019869
2021-08-13 05:18:04.2048386,C:\Windows\appcompat\Programs\Install\INSTALL_ffff_c09b0600-570f-4636-bdcd-b6048b446bf9.txt,C:\Users\82107\Desktop\KapeOutput\C\Windows\appcompat\Programs\Install\INSTALL_ffff_c09b0600-570f-4636-bdcd-b6048b446bf9.txt,2364,BCFA7F7DE1FF3C0A9E5E74644CACA6149262B82D,False,2021-07-18 20:49:42.4193645,2021-07-18 20:49:42.4198851,2021-08-13 04:10:46.8665052,00:00:00.0025034
2021-08-13 05:18:04.2162480,C:\Windows\appcompat\Programs\Install\INSTALL_ffff_d9337413-a819-4000-8a2c-5ccf44407653.txt,C:\Users\82107\Desktop\KapeOutput\C\Windows\appcompat\Programs\Install\INSTALL_ffff_d9337413-a819-4000-8a2c-5ccf44407653.txt,3434,D83EAD4C52A09AC2B626CF1F205E783062026DFA,False,2021-07-18 15:35:50.0388668,2021-07-18 15:35:50.0388668,2021-08-13 04:10:46.8748406,00:00:00.0099193
2021-08-13 05:18:04.2293779,C:\Windows\appcompat\Programs\Install\INSTALL_ffff_f5f9deaa-2169-46c4-8738-48d6bf7968b5.txt,C:\Users\82107\Desktop\KapeOutput\C\Windows\appcompat\Programs\Install\INSTALL_ffff_f5f9deaa-2169-46c4-8738-48d6bf7968b5.txt,2550,C94F28D853869471AFFD9A21136EEC98D6646587,False,2021-07-18 19:30:32.4555186,2021-07-18 19:30:32.4555186,2021-08-13 04:10:46.8818173,00:00:00.0115962
2021-08-13 05:18:04.2405028,C:\Windows\appcompat\Programs\Install\INSTALL_ffff_f895e88a-e3e6-4628-993e-ef04942021ec.txt,C:\Users\82107\Desktop\KapeOutput\C\Windows\appcompat\Programs\Install\INSTALL_ffff_f895e88a-e3e6-4628-993e-ef04942021ec.txt,5306,CDF2F2488E2792C7C4F577F5EB1851968AF5D76D,False,2021-08-07 22:05:30.7624141,2021-08-07 22:05:30.7624141,2021-08-13 04:10:46.8848072,00:00:00.0092470
2021-08-13 05:18:04.2579433,C:\Users\82107\AppData\Local\Packages\Microsoft.Windows.Search_cw5n1h2txyewy\LocalState\DeviceSearchCache\AppCache132732998981825090.txt,C:\Users\82107\Desktop\KapeOutput\C\Users\82107\AppData\Local\Packages\Microsoft.Windows.Search_cw5n1h2txyewy\LocalState\DeviceSearchCache\AppCache132732998981825090.txt,242440,03133FEC9F86B5C7C2520A62AE546CD81D522855,False,2021-08-13 03:44:59.1817146,2021-08-13 03:44:59.1957792,2021-08-13 03:44:59.1957792,00:00:00.0088543
2021-08-13 05:18:04.2859558,C:\Windows\INF\setupapi.dev.20210531_095351.log,C:\Users\82107\Desktop\KapeOutput\C\Windows\INF\setupapi.dev.20210531_095351.log,4264709,793D340E3E346877BC7415BF4F33D8E85A319391,False,2021-05-29 05:12:51.0625096,2021-05-31 00:53:51.8791488,2021-08-13 04:20:44.2271259,00:00:00.0108336
2021-08-13 05:18:04.3279935,C:\Windows\INF\setupapi.dev.log,C:\Users\82107\Desktop\KapeOutput\C\Windows\INF\setupapi.dev.log,3329988,A1B0CC4055F9D51F8CFB66AB55DC4CA2BD315BDA,False,2021-06-24 16:32:36.7311262,2021-08-13 03:00:47.6562688,2021-08-13 04:20:44.3051209,00:00:00.0209220
